,show,season,episode_number,title,airdate,rating,total_votes
0,breaking_bad,1,1,Pilot,20 Jan. 2008,9.0,"(37,076)"
1,breaking_bad,1,2,Cat's in the Bag...,27 Jan. 2008,8.6,"(27,045)"
2,breaking_bad,1,3,...And the Bag's in the River,10 Feb. 2008,8.7,"(26,187)"
3,breaking_bad,1,4,Cancer Man,17 Feb. 2008,8.2,"(25,250)"
4,breaking_bad,1,5,Gray Matter,24 Feb. 2008,8.3,"(24,798)"
5,breaking_bad,1,6,Crazy Handful of Nothin',2 Mar. 2008,9.3,"(29,137)"
6,breaking_bad,1,7,A No-Rough-Stuff-Type Deal,9 Mar. 2008,8.8,"(25,263)"
7,breaking_bad,2,1,Seven Thirty-Seven,8 Mar. 2009,8.6,"(22,915)"
8,breaking_bad,2,2,Grilled,15 Mar. 2009,9.3,"(26,364)"
9,breaking_bad,2,3,Bit by a Dead Bee,22 Mar. 2009,8.3,"(22,068)"
10,breaking_bad,2,4,Down,29 Mar. 2009,8.2,"(22,197)"
11,breaking_bad,2,5,Breakage,5 Apr. 2009,8.3,"(21,577)"
12,breaking_bad,2,6,Peekaboo,12 Apr. 2009,8.8,"(23,696)"
13,breaking_bad,2,7,Negro y Azul,19 Apr. 2009,8.6,"(21,674)"
14,breaking_bad,2,8,Better Call Saul,26 Apr. 2009,9.2,"(25,873)"
15,breaking_bad,2,9,4 Days Out,3 May 2009,9.1,"(24,716)"
16,breaking_bad,2,10,Over,10 May 2009,8.5,"(21,194)"
17,breaking_bad,2,11,Mandala,17 May 2009,8.9,"(21,862)"
18,breaking_bad,2,12,Phoenix,24 May 2009,9.3,"(24,550)"
19,breaking_bad,2,13,ABQ,31 May 2009,9.2,"(24,271)"
20,breaking_bad,3,1,No Más,21 Mar. 2010,8.5,"(20,975)"
21,breaking_bad,3,2,Caballo sin Nombre,28 Mar. 2010,8.6,"(20,467)"
22,breaking_bad,3,3,I.F.T.,4 Apr. 2010,8.4,"(20,353)"
23,breaking_bad,3,4,Green Light,11 Apr. 2010,8.2,"(20,544)"
24,breaking_bad,3,5,Más,18 Apr. 2010,8.6,"(19,911)"
25,breaking_bad,3,6,Sunset,25 Apr. 2010,9.3,"(23,395)"
26,breaking_bad,3,7,One Minute,2 May 2010,9.6,"(28,696)"
27,breaking_bad,3,8,I See You,9 May 2010,8.7,"(20,465)"
28,breaking_bad,3,9,Kafkaesque,16 May 2010,8.4,"(20,200)"
29,breaking_bad,3,10,Fly,23 May 2010,7.8,"(35,693)"
30,breaking_bad,3,11,Abiquiu,30 May 2010,8.4,"(20,075)"
31,breaking_bad,3,12,Half Measures,6 Jun. 2010,9.5,"(27,899)"
32,breaking_bad,3,13,Full Measure,13 Jun. 2010,9.6,"(31,278)"
33,breaking_bad,4,1,Box Cutter,17 Jul. 2011,9.2,"(24,965)"
34,breaking_bad,4,2,Thirty-Eight Snub,24 Jul. 2011,8.2,"(20,727)"
35,breaking_bad,4,3,Open House,31 Jul. 2011,8.0,"(21,004)"
36,breaking_bad,4,4,Bullet Points,7 Aug. 2011,8.6,"(19,900)"
37,breaking_bad,4,5,Shotgun,14 Aug. 2011,8.6,"(19,948)"
38,breaking_bad,4,6,Cornered,21 Aug. 2011,8.4,"(20,178)"
39,breaking_bad,4,7,Problem Dog,28 Aug. 2011,8.8,"(20,844)"
40,breaking_bad,4,8,Hermanos,4 Sep. 2011,9.2,"(23,455)"
41,breaking_bad,4,9,Bug,11 Sep. 2011,8.8,"(21,117)"
42,breaking_bad,4,10,Salud,18 Sep. 2011,9.6,"(29,607)"
43,breaking_bad,4,11,Crawl Space,25 Sep. 2011,9.7,"(34,425)"
